TimeSlice	Time	Perc. Position	Range of Motion 2	CPG Speed 2
831	0.04986	-0.0500997	-0.06	-0.0580001
834	0.05004	-0.0500999	-0.06	-0.0580001
837	0.05022	-0.0501001	-0.06	-0.0580001
840	0.0504	-0.0501003	-0.06	-0.0580001
843	0.05058	-0.0501005	-0.06	-0.0580001
846	0.05076	-0.0501007	-0.06	-0.0580001
849	0.05094	-0.0501008	-0.06	-0.0580001
852	0.05112	-0.050101	-0.06	-0.0580001
855	0.0513	-0.0501012	-0.06	-0.0580001
858	0.05148	-0.0501014	-0.06	-0.0580001
861	0.05166	-0.0501016	-0.06	-0.0580001
864	0.05184	-0.0501018	-0.06	-0.0580001
867	0.05202	-0.0501019	-0.06	-0.0580001
870	0.0522	-0.0501021	-0.06	-0.0580001
873	0.05238	-0.0501023	-0.06	-0.0580001
876	0.05256	-0.0501025	-0.06	-0.0580001
879	0.05274	-0.0501027	-0.06	-0.0580001
882	0.05292	-0.0501029	-0.06	-0.0580001
885	0.0531	-0.050103	-0.06	-0.0580001
888	0.05328	-0.0501032	-0.06	-0.058
891	0.05346	-0.0501034	-0.06	-0.058
894	0.05364	-0.0501036	-0.06	-0.058
897	0.05382	-0.0501038	-0.06	-0.058
900	0.054	-0.0501039	-0.06	-0.058
903	0.05418	-0.0501041	-0.06	-0.058
906	0.05436	-0.0501043	-0.06	-0.058
909	0.05454	-0.0501045	-0.06	-0.058
912	0.05472	-0.0501046	-0.06	-0.058
915	0.0549	-0.0501048	-0.06	-0.058
918	0.05508	-0.050105	-0.06	-0.058
921	0.05526	-0.0501052	-0.06	-0.058
924	0.05544	-0.0501054	-0.06	-0.058
927	0.05562	-0.0501055	-0.06	-0.058
930	0.0558	-0.0501057	-0.06	-0.058
933	0.05598	-0.0501059	-0.06	-0.058
936	0.05616	-0.0501061	-0.06	-0.058
939	0.05634	-0.0501062	-0.06	-0.058
942	0.05652	-0.0501064	-0.06	-0.058
945	0.0567	-0.0501066	-0.06	-0.058
948	0.05688	-0.0501068	-0.06	-0.058
951	0.05706	-0.0501069	-0.06	-0.058
954	0.05724	-0.0501071	-0.06	-0.058
957	0.05742	-0.0501073	-0.06	-0.058
960	0.0576	-0.0501075	-0.06	-0.058
963	0.05778	-0.0501076	-0.06	-0.058
966	0.05796	-0.0501078	-0.06	-0.058
969	0.05814	-0.050108	-0.06	-0.058
972	0.05832	-0.0501081	-0.06	-0.058
975	0.0585	-0.0501083	-0.06	-0.058
978	0.05868	-0.0501085	-0.06	-0.058
981	0.05886	-0.0501087	-0.06	-0.058
984	0.05904	-0.0501088	-0.06	-0.058
987	0.05922	-0.050109	-0.06	-0.058
990	0.0594	-0.0501092	-0.06	-0.058
993	0.05958	-0.0501093	-0.06	-0.058
996	0.05976	-0.0501095	-0.06	-0.058
999	0.05994	-0.0501097	-0.06	-0.058
1002	0.06012	-0.0501098	-0.06	-0.058
1005	0.0603	-0.05011	-0.06	-0.058
1008	0.06048	-0.0501102	-0.06	-0.058
1011	0.06066	-0.0501104	-0.06	-0.058
1014	0.06084	-0.0501105	-0.06	-0.058
1017	0.06102	-0.0501107	-0.06	-0.058
1020	0.0612	-0.0501109	-0.06	-0.058
1023	0.06138	-0.050111	-0.06	-0.058
1026	0.06156	-0.0501112	-0.06	-0.058
1029	0.06174	-0.0501114	-0.06	-0.058
1032	0.06192	-0.0501115	-0.06	-0.058
1035	0.0621	-0.0501117	-0.06	-0.058
1038	0.06228	-0.0501119	-0.06	-0.058
1041	0.06246	-0.050112	-0.06	-0.058
1044	0.06264	-0.0501122	-0.06	-0.058
1047	0.06282	-0.0501124	-0.06	-0.058
1050	0.063	-0.0501125	-0.06	-0.058
1053	0.06318	-0.0501127	-0.06	-0.058
1056	0.06336	-0.0501129	-0.06	-0.058
1059	0.06354	-0.050113	-0.06	-0.058
1062	0.06372	-0.0501132	-0.06	-0.058
1065	0.0639	-0.0501133	-0.06	-0.058
1068	0.06408	-0.0501135	-0.06	-0.058
1071	0.06426	-0.0501137	-0.06	-0.058
1074	0.06444	-0.0501138	-0.06	-0.058
1077	0.06462	-0.050114	-0.06	-0.058
1080	0.0648	-0.0501142	-0.06	-0.058
1083	0.06498	-0.0501143	-0.06	-0.058
1086	0.06516	-0.0501145	-0.06	-0.058
1089	0.06534	-0.0501147	-0.06	-0.058
1092	0.06552	-0.0501148	-0.06	-0.058
1095	0.0657	-0.050115	-0.06	-0.058
1098	0.06588	-0.0501151	-0.06	-0.058
1101	0.06606	-0.0501153	-0.06	-0.058
1104	0.06624	-0.0501155	-0.06	-0.058
1107	0.06642	-0.0501156	-0.06	-0.058
1110	0.0666	-0.0501158	-0.06	-0.058
1113	0.06678	-0.0501159	-0.06	-0.058
1116	0.06696	-0.0501161	-0.06	-0.058
1119	0.06714	-0.0501163	-0.06	-0.058
1122	0.06732	-0.0501164	-0.06	-0.058
1125	0.0675	-0.0501166	-0.06	-0.058
1128	0.06768	-0.0501167	-0.06	-0.058
1131	0.06786	-0.0501169	-0.06	-0.058
1134	0.06804	-0.050117	-0.06	-0.058
1137	0.06822	-0.0501172	-0.06	-0.058
1140	0.0684	-0.0501174	-0.06	-0.058
1143	0.06858	-0.0501175	-0.06	-0.058
1146	0.06876	-0.0501177	-0.06	-0.058
1149	0.06894	-0.0501178	-0.06	-0.058
1152	0.06912	-0.050118	-0.06	-0.058
1155	0.0693	-0.0501182	-0.06	-0.058
1158	0.06948	-0.0501183	-0.06	-0.058
1161	0.06966	-0.0501185	-0.06	-0.058
1164	0.06984	-0.0501186	-0.06	-0.058
1167	0.07002	-0.0501188	-0.06	-0.058
1170	0.0702	-0.0501189	-0.06	-0.058
1173	0.07038	-0.0501191	-0.06	-0.058
1176	0.07056	-0.0501192	-0.06	-0.058
1179	0.07074	-0.0501194	-0.06	-0.058
1182	0.07092	-0.0501195	-0.06	-0.058
1185	0.0711	-0.0501197	-0.06	-0.058
1188	0.07128	-0.0501199	-0.06	-0.058
1191	0.07146	-0.05012	-0.06	-0.058
1194	0.07164	-0.0501202	-0.06	-0.058
1197	0.07182	-0.0501203	-0.06	-0.058
1200	0.072	-0.0501205	-0.06	-0.058
1203	0.07218	-0.0501206	-0.06	-0.058
1206	0.07236	-0.0501208	-0.06	-0.058
1209	0.07254	-0.0501209	-0.06	-0.058
1212	0.07272	-0.0501211	-0.06	-0.058
1215	0.0729	-0.0501212	-0.06	-0.058
1218	0.07308	-0.0501214	-0.06	-0.058
1221	0.07326	-0.0501215	-0.06	-0.058
1224	0.07344	-0.0501217	-0.06	-0.058
1227	0.07362	-0.0501218	-0.06	-0.058
1230	0.0738	-0.050122	-0.06	-0.058
1233	0.07398	-0.0501221	-0.06	-0.058
1236	0.07416	-0.0501223	-0.06	-0.058
1239	0.07434	-0.0501224	-0.06	-0.058
1242	0.07452	-0.0501226	-0.06	-0.058
1245	0.0747	-0.0501227	-0.06	-0.058
1248	0.07488	-0.0501229	-0.06	-0.058
1251	0.07506	-0.050123	-0.06	-0.058
1254	0.07524	-0.0501232	-0.06	-0.058
1257	0.07542	-0.0501233	-0.06	-0.058
1260	0.0756	-0.0501235	-0.06	-0.058
1263	0.07578	-0.0501236	-0.06	-0.058
1266	0.07596	-0.0501238	-0.06	-0.058
1269	0.07614	-0.0501239	-0.06	-0.058
1272	0.07632	-0.0501241	-0.06	-0.058
1275	0.0765	-0.0501242	-0.06	-0.058
1278	0.07668	-0.0501244	-0.06	-0.058
1281	0.07686	-0.0501245	-0.06	-0.058
1284	0.07704	-0.0501247	-0.06	-0.058
1287	0.07722	-0.0501248	-0.06	-0.058
1290	0.0774	-0.050125	-0.06	-0.058
1293	0.07758	-0.0501251	-0.06	-0.058
1296	0.07776	-0.0501252	-0.06	-0.058
1299	0.07794	-0.0501254	-0.06	-0.058
1302	0.07812	-0.0501255	-0.06	-0.058
1305	0.0783	-0.0501257	-0.06	-0.058
1308	0.07848	-0.0501258	-0.06	-0.058
1311	0.07866	-0.050126	-0.06	-0.058
1314	0.07884	-0.0501261	-0.06	-0.058
1317	0.07902	-0.0501263	-0.06	-0.058
1320	0.0792	-0.0501264	-0.06	-0.058
1323	0.07938	-0.0501265	-0.06	-0.058
1326	0.07956	-0.0501267	-0.06	-0.058
1329	0.07974	-0.0501268	-0.06	-0.058
1332	0.07992	-0.050127	-0.06	-0.058
1335	0.0801	-0.0501271	-0.06	-0.058
1338	0.08028	-0.0501273	-0.06	-0.058
1341	0.08046	-0.0501274	-0.06	-0.058
1344	0.08064	-0.0501275	-0.06	-0.058
1347	0.08082	-0.0501277	-0.06	-0.058
1350	0.081	-0.0501278	-0.06	-0.058
1353	0.08118	-0.050128	-0.06	-0.058
1356	0.08136	-0.0501281	-0.06	-0.058
1359	0.08154	-0.0501283	-0.06	-0.058
1362	0.08172	-0.0501284	-0.06	-0.058
1365	0.0819	-0.0501285	-0.06	-0.058
1368	0.08208	-0.0501287	-0.06	-0.058
1371	0.08226	-0.0501288	-0.06	-0.058
1374	0.08244	-0.050129	-0.06	-0.058
1377	0.08262	-0.0501291	-0.06	-0.058
1380	0.0828	-0.0501292	-0.06	-0.058
1383	0.08298	-0.0501294	-0.06	-0.058
1386	0.08316	-0.0501295	-0.06	-0.058
1389	0.08334	-0.0501296	-0.06	-0.058
1392	0.08352	-0.0501298	-0.06	-0.058
1395	0.0837	-0.0501299	-0.06	-0.058
1398	0.08388	-0.0501301	-0.06	-0.058
1401	0.08406	-0.0501302	-0.06	-0.058
1404	0.08424	-0.0501303	-0.06	-0.058
1407	0.08442	-0.0501305	-0.06	-0.058
1410	0.0846	-0.0501306	-0.06	-0.058
1413	0.08478	-0.0501307	-0.06	-0.058
1416	0.08496	-0.0501309	-0.06	-0.058
1419	0.08514	-0.050131	-0.06	-0.058
1422	0.08532	-0.0501312	-0.06	-0.058
1425	0.0855	-0.0501313	-0.06	-0.058
1428	0.08568	-0.0501314	-0.06	-0.058
1431	0.08586	-0.0501316	-0.06	-0.058
1434	0.08604	-0.0501317	-0.06	-0.058
1437	0.08622	-0.0501318	-0.06	-0.058
1440	0.0864	-0.050132	-0.06	-0.058
1443	0.08658	-0.0501321	-0.06	-0.058
1446	0.08676	-0.0501322	-0.06	-0.058
1449	0.08694	-0.0501324	-0.06	-0.058
1452	0.08712	-0.0501325	-0.06	-0.058
1455	0.0873	-0.0501326	-0.06	-0.058
1458	0.08748	-0.0501328	-0.06	-0.058
1461	0.08766	-0.0501329	-0.06	-0.058
1464	0.08784	-0.050133	-0.06	-0.058
1467	0.08802	-0.0501332	-0.06	-0.058
1470	0.0882	-0.0501333	-0.06	-0.058
1473	0.08838	-0.0501334	-0.06	-0.058
1476	0.08856	-0.0501336	-0.06	-0.058
1479	0.08874	-0.0501337	-0.06	-0.058
1482	0.08892	-0.0501338	-0.06	-0.058
1485	0.0891	-0.050134	-0.06	-0.058
1488	0.08928	-0.0501341	-0.06	-0.058
1491	0.08946	-0.0501342	-0.06	-0.058
1494	0.08964	-0.0501343	-0.06	-0.058
1497	0.08982	-0.0501345	-0.06	-0.058
1500	0.09	-0.0501346	-0.06	-0.058
1503	0.09018	-0.0501347	-0.06	-0.058
1506	0.09036	-0.0501349	-0.06	-0.058
1509	0.09054	-0.050135	-0.06	-0.058
1512	0.09072	-0.0501351	-0.06	-0.058
1515	0.0909	-0.0501353	-0.06	-0.058
1518	0.09108	-0.0501354	-0.06	-0.058
1521	0.09126	-0.0501355	-0.06	-0.058
1524	0.09144	-0.0501356	-0.06	-0.058
1527	0.09162	-0.0501358	-0.06	-0.058
1530	0.0918	-0.0501359	-0.06	-0.058
1533	0.09198	-0.050136	-0.06	-0.058
1536	0.09216	-0.0501361	-0.06	-0.058
1539	0.09234	-0.0501363	-0.06	-0.058
1542	0.09252	-0.0501364	-0.06	-0.058
1545	0.0927	-0.0501365	-0.06	-0.058
1548	0.09288	-0.0501367	-0.06	-0.058
1551	0.09306	-0.0501368	-0.06	-0.058
1554	0.09324	-0.0501369	-0.06	-0.058
1557	0.09342	-0.050137	-0.06	-0.058
1560	0.0936	-0.0501372	-0.06	-0.058
1563	0.09378	-0.0501373	-0.06	-0.058
1566	0.09396	-0.0501374	-0.06	-0.058
1569	0.09414	-0.0501375	-0.06	-0.058
1572	0.09432	-0.0501377	-0.06	-0.058
1575	0.0945	-0.0501378	-0.06	-0.058
1578	0.09468	-0.0501379	-0.06	-0.058
1581	0.09486	-0.050138	-0.06	-0.058
1584	0.09504	-0.0501382	-0.06	-0.058
1587	0.09522	-0.0501383	-0.06	-0.058
1590	0.0954	-0.0501384	-0.06	-0.058
1593	0.09558	-0.0501385	-0.06	-0.058
1596	0.09576	-0.0501386	-0.06	-0.058
1599	0.09594	-0.0501388	-0.06	-0.058
1602	0.09612	-0.0501389	-0.06	-0.058
