Time	BR_Ankle MN E	BR_Ankle MN F	BR_Hip MN E	BR_Hip MN F	BR_Knee MN E	BR_Knee MN F	
0.57408	-0.1	-0.05760891	-0.1	-0.06365202	-0.1	-0.07320716	
0.57616	-0.1	-0.05824096	-0.1	-0.06363742	-0.1	-0.07309631	
0.57824	-0.1	-0.05870039	-0.1	-0.0636204	-0.1	-0.0729366	
0.58032	-0.1	-0.05914726	-0.1	-0.06361449	-0.1	-0.07275778	
0.5824	-0.1	-0.0595109	-0.1	-0.06361135	-0.1	-0.07261285	
0.58448	-0.1	-0.06040381	-0.1	-0.06365012	-0.1	-0.0724785	
0.58656	-0.1	-0.06118184	-0.1	-0.06369311	-0.1	-0.07235491	
0.58864	-0.1	-0.0617733	-0.1	-0.06372756	-0.1	-0.07224603	
0.59072	-0.1	-0.06219767	-0.1	-0.06373692	-0.1	-0.07215339	
0.5928	-0.1	-0.06267341	-0.1	-0.06374187	-0.1	-0.07206511	
0.59488	-0.1	-0.06316441	-0.1	-0.0637428	-0.1	-0.07201518	
0.59696	-0.1	-0.06358222	-0.1	-0.06374059	-0.1	-0.07200595	
0.59904	-0.1	-0.06431602	-0.1	-0.0637432	-0.1	-0.07202953	
0.60112	-0.1	-0.06482413	-0.1	-0.06374521	-0.1	-0.07203964	
0.6032	-0.1	-0.06515338	-0.1	-0.063745	-0.1	-0.0720261	
0.60528	-0.1	-0.0655934	-0.1	-0.06374606	-0.1	-0.07199121	
0.60736	-0.1	-0.06602989	-0.09998535	-0.06381277	-0.1	-0.07194039	
0.60944	-0.1	-0.06628832	-0.09999109	-0.06388636	-0.1	-0.07191827	
0.61152	-0.1	-0.06651746	-0.09999458	-0.06388666	-0.1	-0.07193419	
0.6136	-0.1	-0.06667126	-0.09994534	-0.06386202	-0.1	-0.07193918	
0.61568	-0.1	-0.0668234	-0.09981045	-0.06383263	-0.1	-0.07191749	
0.61776	-0.1	-0.06713223	-0.09982172	-0.06412467	-0.1	-0.07186818	
0.61984	-0.1	-0.06746883	-0.09989167	-0.06446563	-0.09995116	-0.07184513	
0.62192	-0.1	-0.06790954	-0.09993418	-0.06463967	-0.09951162	-0.07186378	
0.624	-0.1	-0.06822004	-0.09996001	-0.06472624	-0.09910092	-0.07187893	
0.62608	-0.1	-0.06842769	-0.09997571	-0.06476729	-0.09885929	-0.0718643	
0.62816	-0.1	-0.06862514	-0.09998524	-0.06466894	-0.09871235	-0.07181084	
0.63024	-0.1	-0.06870938	-0.09999104	-0.06454299	-0.09897655	-0.07172181	
0.63232	-0.1	-0.06872707	-0.09999456	-0.06443061	-0.09936696	-0.07160641	
0.6344	-0.1	-0.06870791	-0.09999669	-0.06434237	-0.09943241	-0.07147887	
0.63648	-0.1	-0.0687836	-0.099998	-0.06441581	-0.09968911	-0.07135622	
0.63856	-0.1	-0.06887245	-0.09999878	-0.06452627	-0.0996458	-0.07123705	
0.64064	-0.09998755	-0.0690944	-0.09999926	-0.06475025	-0.09964418	-0.07113122	
0.64272	-0.09999179	-0.06923667	-0.09999955	-0.06496891	-0.09980819	-0.07104299	
0.6448	-0.09999458	-0.06933432	-0.09999973	-0.06527129	-0.09989523	-0.07096835	
