Time	BL_Ankle PF E	BL_Ankle PF F	BL_Hip PF E	BL_Hip PF F	BL_Knee PF E	BL_Knee PF F	
0.468	-0.05843055	-0.06003167	-0.05842843	-0.06006147	-0.05842735	-0.06011287	
0.47008	-0.05842879	-0.06003918	-0.0584267	-0.06005373	-0.05842564	-0.06011645	
0.47216	-0.05842707	-0.06005181	-0.058425	-0.06005294	-0.05842394	-0.06012645	
0.47424	-0.05842536	-0.06006388	-0.05842332	-0.06005664	-0.05842227	-0.06013528	
0.47632	-0.05842367	-0.06007925	-0.05842166	-0.06005705	-0.05842062	-0.06014545	
0.4784	-0.058422	-0.06008604	-0.05842001	-0.06005931	-0.058419	-0.06014122	
0.48048	-0.05842036	-0.06009592	-0.05841839	-0.0600497	-0.05841739	-0.06014004	
0.48256	-0.05841873	-0.06010247	-0.05841679	-0.06004002	-0.0584158	-0.06012541	
0.48464	-0.05841713	-0.06010215	-0.05841521	-0.0600323	-0.05841423	-0.06012749	
0.48672	-0.05841554	-0.06009053	-0.05841364	-0.06003417	-0.05841268	-0.06012044	
0.4888	-0.05841397	-0.06008956	-0.0584121	-0.06004294	-0.05841115	-0.06011287	
0.49088	-0.05841243	-0.06009707	-0.05841058	-0.06005124	-0.05840963	-0.06011637	
0.49296	-0.0584109	-0.06010709	-0.05840907	-0.06006714	-0.05840814	-0.06011231	
0.49504	-0.05840939	-0.06009758	-0.05840759	-0.06006217	-0.05840667	-0.06010623	
0.49712	-0.0584079	-0.06009356	-0.05840611	-0.0600597	-0.05840521	-0.06008762	
0.4992	-0.05840642	-0.06008542	-0.05840467	-0.06007034	-0.05840377	-0.06008762	
0.50128	-0.05840497	-0.06007941	-0.05840323	-0.06007282	-0.05840235	-0.06009526	
0.50336	-0.05840353	-0.06006312	-0.05840182	-0.0600637	-0.05840094	-0.06008914	
0.50544	-0.05840212	-0.06005718	-0.05840042	-0.06005079	-0.05839956	-0.06008605	
0.50752	-0.05840072	-0.06005803	-0.05839904	-0.06003504	-0.05839819	-0.06008828	
0.5096	-0.05839933	-0.06004953	-0.05839768	-0.06004354	-0.05839683	-0.06008404	
0.51168	-0.05839796	-0.06003825	-0.05839633	-0.06004896	-0.0583955	-0.06008901	
0.51376	-0.05839662	-0.06004299	-0.05839501	-0.0600447	-0.05839418	-0.06008421	
0.51584	-0.05839529	-0.06005034	-0.05839369	-0.06005517	-0.05839288	-0.06007915	
0.51792	-0.05839397	-0.0600426	-0.0583924	-0.06006849	-0.05839159	-0.06008694	
0.52	-0.05839267	-0.06004262	-0.05839112	-0.06007263	-0.05839033	-0.06008134	
