Time	BL_Ankle MN E	BL_Ankle MN F	BL_Hip MN E	BL_Hip MN F	BL_Knee MN E	BL_Knee MN F	
0.32656	-0.05754522	-0.1	-0.06566608	-0.1	-0.04910154	-0.09983831	
0.32864	-0.0574866	-0.1	-0.06560904	-0.1	-0.04891213	-0.09983771	
0.33072	-0.05742875	-0.1	-0.06555272	-0.1	-0.04872696	-0.09983712	
0.3328	-0.05737165	-0.1	-0.06549713	-0.1	-0.048546	-0.09983655	
0.33488	-0.0573153	-0.1	-0.06544225	-0.1	-0.04836921	-0.09983599	
0.33696	-0.05725969	-0.1	-0.06538808	-0.1	-0.04819655	-0.09983543	
0.33904	-0.05720481	-0.1	-0.0653346	-0.1	-0.04802798	-0.09983489	
0.34112	-0.05716407	-0.1	-0.06528179	-0.1	-0.04747458	-0.09983436	
0.3432	-0.05712507	-0.1	-0.06522968	-0.1	-0.04699366	-0.09983383	
0.34528	-0.05708404	-0.1	-0.06517823	-0.1	-0.04665257	-0.0998333	
0.34736	-0.05705889	-0.1	-0.06512744	-0.1	-0.04649131	-0.09983274	
0.34944	-0.05707419	-0.1	-0.0650773	-0.1	-0.04659722	-0.09983215	
0.35152	-0.05769993	-0.1	-0.0650278	-0.1	-0.04684202	-0.09983145	
0.3536	-0.05828486	-0.1	-0.06497895	-0.1	-0.04698052	-0.09983094	
0.35568	-0.05865194	-0.1	-0.06493071	-0.1	-0.047056	-0.09983075	
0.35776	-0.05853258	-0.1	-0.06488311	-0.1	-0.04693747	-0.09983057	
0.35984	-0.05824664	-0.1	-0.06483611	-0.1	-0.0467727	-0.0998306	
0.36192	-0.05793316	-0.1	-0.0647897	-0.1	-0.0466118	-0.09983053	
0.364	-0.05760738	-0.1	-0.06474391	-0.1	-0.04652638	-0.09983031	
0.36608	-0.057278	-0.1	-0.0646987	-0.1	-0.04659648	-0.09982994	
0.36816	-0.05712079	-0.1	-0.06465407	-0.1	-0.04661092	-0.09982962	
0.37024	-0.05715945	-0.1	-0.06461001	-0.1	-0.04658515	-0.09982944	
0.37232	-0.0572167	-0.1	-0.06456652	-0.1	-0.04696001	-0.09982923	
0.3744	-0.05720994	-0.1	-0.0645236	-0.1	-0.04721106	-0.09982894	
0.37648	-0.05713776	-0.1	-0.06448122	-0.1	-0.04729581	-0.09982847	
0.37856	-0.0570326	-0.1	-0.06443939	-0.1	-0.04728831	-0.09982785	
0.38064	-0.05676272	-0.1	-0.0643981	-0.1	-0.047311	-0.09982717	
0.38272	-0.05661561	-0.1	-0.06405346	-0.1	-0.04726682	-0.09982685	
0.3848	-0.05662826	-0.1	-0.0636057	-0.1	-0.04715635	-0.09982571	
0.38688	-0.05676492	-0.1	-0.06320609	-0.1	-0.04699732	-0.09982377	
0.38896	-0.05698051	-0.1	-0.06289257	-0.1	-0.04680619	-0.09982166	
0.39104	-0.05723898	-0.1	-0.06265997	-0.1	-0.04659522	-0.09981984	
0.39312	-0.05751561	-0.1	-0.06249084	-0.1	-0.04637301	-0.09981856	
0.3952	-0.0577948	-0.1	-0.06236739	-0.1	-0.04614545	-0.09981789	
0.39728	-0.05806728	-0.1	-0.06227534	-0.1	-0.04591655	-0.09981776	
0.39936	-0.05832796	-0.1	-0.06220426	-0.1	-0.04568895	-0.09981805	
0.40144	-0.05857429	-0.1	-0.06214698	-0.1	-0.04546444	-0.09981865	
0.40352	-0.05880531	-0.1	-0.06209872	-0.1	-0.04524415	-0.09981946	
0.4056	-0.05902098	-0.1	-0.06205637	-0.1	-0.0450288	-0.0998204	
0.40768	-0.05922179	-0.1	-0.06201793	-0.1	-0.04481881	-0.0998214	
0.40976	-0.05940851	-0.1	-0.06198212	-0.1	-0.04461444	-0.09982241	
0.41184	-0.05958201	-0.1	-0.06194813	-0.1	-0.04441577	-0.09982342	
0.41392	-0.05977996	-0.1	-0.06186105	-0.1	-0.04395478	-0.09982438	
0.416	-0.05988412	-0.1	-0.06176882	-0.1	-0.04367209	-0.09982473	
0.41808	-0.05990041	-0.1	-0.06168733	-0.1	-0.0435919	-0.09982441	
0.42016	-0.05985573	-0.1	-0.06161942	-0.1	-0.0436576	-0.09982356	
0.42224	-0.0597728	-0.1	-0.06156338	-0.1	-0.0438141	-0.09982234	
0.42432	-0.05966712	-0.1	-0.06151643	-0.1	-0.04402192	-0.09982088	
0.4264	-0.05954847	-0.1	-0.06147601	-0.1	-0.0442553	-0.09981927	
0.42848	-0.05942293	-0.1	-0.06144015	-0.1	-0.04449811	-0.09981758	
0.43056	-0.05923614	-0.1	-0.06141955	-0.1	-0.0447155	-0.09981586	
0.43264	-0.05902463	-0.1	-0.06140245	-0.1	-0.04483911	-0.09981418	
0.43472	-0.05880656	-0.1	-0.06138811	-0.1	-0.04491961	-0.09981258	
0.4368	-0.05867253	-0.1	-0.06138621	-0.1	-0.0449704	-0.09981112	
0.43888	-0.05851317	-0.1	-0.06138179	-0.1	-0.04498009	-0.09980983	
0.44096	-0.05831975	-0.1	-0.06136562	-0.1	-0.04492389	-0.09980869	
0.44304	-0.0581044	-0.1	-0.06134417	-0.1	-0.04482421	-0.09980794	
0.44512	-0.05788325	-0.1	-0.06132051	-0.1	-0.04469766	-0.09980762	
0.4472	-0.05766379	-0.1	-0.06129608	-0.1	-0.04454818	-0.09980734	
0.44928	-0.05748424	-0.1	-0.06128706	-0.1	-0.04440271	-0.09980699	
0.45136	-0.05751491	-0.1	-0.0612799	-0.1	-0.04434814	-0.0998066	
0.45344	-0.05772695	-0.1	-0.06127016	-0.1	-0.04436769	-0.09980614	
0.45552	-0.05803752	-0.1	-0.06123634	-0.1	-0.04441597	-0.09980556	
0.4576	-0.05821334	-0.1	-0.06119736	-0.1	-0.04440081	-0.09980492	
0.45968	-0.05824361	-0.1	-0.06116005	-0.1	-0.04432908	-0.09980433	
0.46176	-0.05816918	-0.1	-0.06114687	-0.1	-0.04424692	-0.09980385	
0.46384	-0.05809582	-0.1	-0.06113936	-0.1	-0.04426452	-0.09980344	
0.46592	-0.05804482	-0.1	-0.06111535	-0.1	-0.04434472	-0.09980299	
0.468	-0.05794985	-0.1	-0.06108683	-0.1	-0.04435484	-0.09980255	
0.47008	-0.05780712	-0.1	-0.06105843	-0.1	-0.04429783	-0.09980224	
0.47216	-0.05763561	-0.1	-0.06103499	-0.1	-0.04417575	-0.09980209	
0.47424	-0.05747039	-0.1	-0.06101365	-0.1	-0.04402751	-0.09980209	
0.47632	-0.05732045	-0.1	-0.06100174	-0.1	-0.04386473	-0.09980223	
0.4784	-0.05715904	-0.1	-0.06099112	-0.1	-0.04369772	-0.09980235	
0.48048	-0.05697365	-0.1	-0.0609911	-0.1	-0.0434481	-0.09980243	
0.48256	-0.05693891	-0.1	-0.06099051	-0.1	-0.04348536	-0.09980242	
0.48464	-0.05704668	-0.1	-0.0609861	-0.1	-0.04376156	-0.09980217	
0.48672	-0.05697576	-0.1	-0.06096571	-0.1	-0.04396721	-0.09980158	
0.4888	-0.0566707	-0.1	-0.06112588	-0.1	-0.04356411	-0.09980057	
0.49088	-0.05657744	-0.1	-0.06130703	-0.1	-0.04339388	-0.09980013	
0.49296	-0.05671786	-0.1	-0.06145624	-0.1	-0.04348119	-0.09980007	
0.49504	-0.05701676	-0.1	-0.06156341	-0.1	-0.04372939	-0.09980005	
0.49712	-0.05740033	-0.1	-0.06163356	-0.1	-0.04405971	-0.09979982	
0.4992	-0.05781696	-0.1	-0.06167541	-0.1	-0.04442328	-0.09979931	
0.50128	-0.0581157	-0.1	-0.06185889	-0.1	-0.04487284	-0.09979849	
0.50336	-0.05815497	-0.1	-0.06208828	-0.1	-0.04529524	-0.09979811	
0.50544	-0.0581059	-0.1	-0.06212913	-0.1	-0.04565411	-0.09979828	
0.50752	-0.05786337	-0.1	-0.06141803	-0.1	-0.04599055	-0.09979828	
0.5096	-0.05753899	-0.1	-0.06067815	-0.1	-0.04619684	-0.099795	
0.51168	-0.05725913	-0.1	-0.05997309	-0.1	-0.04627548	-0.0997896	
0.51376	-0.05707837	-0.1	-0.05942254	-0.1	-0.04621228	-0.09978324	
0.51584	-0.05698344	-0.1	-0.05902842	-0.1	-0.04606351	-0.09977717	
0.51792	-0.05694976	-0.1	-0.05875804	-0.1	-0.04586839	-0.09977211	
0.52	-0.05695623	-0.1	-0.05857597	-0.1	-0.04564881	-0.09976833	
0.52208	-0.05698762	-0.1	-0.05845361	-0.1	-0.04541666	-0.09976579	
0.52416	-0.05703362	-0.1	-0.05837043	-0.1	-0.04517857	-0.09976432	
0.52624	-0.05708756	-0.1	-0.05831256	-0.1	-0.04493837	-0.0997637	
0.52832	-0.05714517	-0.1	-0.05827088	-0.1	-0.04469837	-0.0997637	
0.5304	-0.05719568	-0.1	-0.0585179	-0.1	-0.04458427	-0.09976414	
0.53248	-0.05715396	-0.1	-0.05879828	-0.1	-0.04462001	-0.09976573	
0.53456	-0.05702546	-0.1	-0.05898654	-0.1	-0.04474492	-0.09976786	
0.53664	-0.05684818	-0.1	-0.05910758	-0.1	-0.0448089	-0.09976975	
0.53872	-0.05664354	-0.1	-0.05918222	-0.1	-0.04482	-0.09977113	
0.5408	-0.0564237	-0.1	-0.05930819	-0.1	-0.04465182	-0.09977201	
0.54288	-0.05620745	-0.1	-0.05942373	-0.1	-0.04453189	-0.09977283	
0.54496	-0.05605762	-0.1	-0.05951091	-0.1	-0.04437124	-0.09977348	
0.54704	-0.05596561	-0.1	-0.05957004	-0.1	-0.04418403	-0.09977396	
