Time	BR_Ankle PF E	BR_Ankle PF F	BR_Hip PF E	BR_Hip PF F	BR_Knee PF E	BR_Knee PF F	
0.51584	-0.06007778	-0.05839366	-0.06007076	-0.05839404	-0.06006908	-0.05839365	
0.51792	-0.06008097	-0.05839236	-0.06007307	-0.05839274	-0.06006981	-0.05839236	
0.52	-0.06007566	-0.05839108	-0.06007898	-0.05839146	-0.06007826	-0.05839108	
0.52208	-0.0600633	-0.05838982	-0.06007095	-0.05839019	-0.06006853	-0.05838982	
0.52416	-0.06006321	-0.05838857	-0.06005488	-0.05838894	-0.06006034	-0.05838857	
0.52624	-0.06005002	-0.05838734	-0.06005561	-0.0583877	-0.06004391	-0.05838734	
0.52832	-0.06004591	-0.05838612	-0.06004161	-0.05838648	-0.06004792	-0.05838612	
0.5304	-0.0600371	-0.05838493	-0.06003273	-0.05838528	-0.06004722	-0.05838492	
0.53248	-0.06003352	-0.05838374	-0.06002443	-0.05838408	-0.06005394	-0.05838373	
0.53456	-0.06002311	-0.05838257	-0.06003447	-0.05838291	-0.06004729	-0.05838256	
0.53664	-0.06003362	-0.05838141	-0.06003445	-0.05838175	-0.06003413	-0.05838141	
0.53872	-0.06003949	-0.05838027	-0.06004609	-0.0583806	-0.06002335	-0.05838026	
0.5408	-0.06005164	-0.05837914	-0.06004703	-0.05837947	-0.06002617	-0.05837914	
0.54288	-0.06004468	-0.05837803	-0.06005039	-0.05837835	-0.0600263	-0.05837803	
0.54496	-0.06004369	-0.05837693	-0.06005671	-0.05837725	-0.06002067	-0.05837693	
0.54704	-0.06003232	-0.05837584	-0.06005573	-0.05837616	-0.06002439	-0.05837584	
0.54912	-0.06003057	-0.05837477	-0.06005932	-0.05837509	-0.06002942	-0.05837477	
0.5512	-0.06002245	-0.05837372	-0.06005363	-0.05837402	-0.06004313	-0.05837371	
0.55328	-0.06001101	-0.05837267	-0.06005496	-0.05837298	-0.06005902	-0.05837267	
0.55536	-0.06000547	-0.05837164	-0.06004259	-0.05837194	-0.06007018	-0.05837164	
0.55744	-0.06001489	-0.05837062	-0.06003843	-0.05837092	-0.06007082	-0.05837062	
0.55952	-0.06001558	-0.05836962	-0.06003477	-0.05836991	-0.06006205	-0.05836961	
0.5616	-0.06002844	-0.05836863	-0.06002782	-0.05836892	-0.06004518	-0.05836862	
0.56368	-0.06004279	-0.05836765	-0.0600233	-0.05836793	-0.0600302	-0.05836764	
0.56576	-0.06005283	-0.05836668	-0.06002064	-0.05836696	-0.06001893	-0.05836668	
0.56784	-0.06004905	-0.05836572	-0.06002986	-0.058366	-0.06002228	-0.05836572	
0.56992	-0.06003512	-0.05836478	-0.06002143	-0.05836506	-0.0600271	-0.05836478	
0.572	-0.06003651	-0.05836385	-0.06002133	-0.05836412	-0.06003474	-0.05836385	
0.57408	-0.06002704	-0.05836293	-0.06002081	-0.0583632	-0.06004488	-0.05836293	
0.57616	-0.06002308	-0.05836203	-0.06003094	-0.05836229	-0.06004496	-0.05836203	
0.57824	-0.06002275	-0.05836113	-0.06003129	-0.05836139	-0.0600426	-0.05836113	
0.58032	-0.06002008	-0.05836025	-0.06004192	-0.05836051	-0.06003295	-0.05836025	
